date,startup,vertical,subvertical,city,investors,round,amount
2020-09-01,byju’s,E-Tech,E-learning,Bengaluru,tiger global management,Private Equity Round,1840.0
2020-01-13,shuttl,Transportation,App based shuttle service,Gurugram,susquehanna growth equity,Series C,74.0452248
2020-09-01,mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,sequoia capital india,Series B,168.901512
2020-02-01,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,vinod khatumal,Pre-series A,27.6
2020-02-01,fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,sprout venture partners,Seed Round,16.56
2020-01-13,pando,Logistics,"Open-market, freight management platform",Chennai,chiratae ventures,Series A,82.8
2020-10-01,zomato,Hospitality,Online Food Delivery Platform,Gurugram,ant financial,Private Equity Round,1380.0
2019-12-12,ecozen,Technology,Agritech,Pune,sathguru catalyzer advisors,Series A,55.2
2019-06-12,cardekho,E-Commerce,Automobile,Gurugram,ping an global voyager fund,Series D,644.0
2019-03-12,dhruva space,Aerospace,Satellite Communication,Bengaluru,"mumbai angels, ravikanth reddy",Seed,460.0
2019-12-13,rivigo,Technology,Logistics Services and Solutions,Gurugram,"saif partners, spring canter investment ltd.",Series F,184.0
2019-12-17,healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"paytm, nptk, sabre partners and neoplux",Series C,110.4
2019-12-16,licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,vertex growth fund,Series E,276.0
2019-12-16,incred,Finance,Non-Banking Financial Company,Mumbai,undisclosed,Debt Funding,54.28
2019-12-14,trell,Video,Experience Discovery Platform,Bengaluru,ruizheng investment,Seed Round,18.4
2019-11-12,rein games,Gaming,Real money based gaming startup,Noida,manipal education and medical group (memg),Seed Round,460.0
2019-12-20,lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,softbank vision fund,Series G,2125.2
2019-11-13,freshworks,Software,Business and customer engagement tools,San Francisco,"sequoia, capitalg, accel",Series H,1380.0
2019-11-14,misters,Health and wellness,Men's Health and Wellness brand,Gurugram,"sauce.vc, rainforest ventures",Series B,4.4712
2019-11-13,sunstone eduversity pvt. ltd,Education,Elearning,Gurugram,"prime venture partners, letsventure, ps1 venture and globallogic co-founder rajul garg",Seed,13.8
2019-11-17,burger singh,Food and Beverage,Indian Burger Brand,Gurugram,rb investments,Venture,0.0
2019-11-18,healthians,Health and Wellness,Healthcare services,Gurugram,"dg daiwa ventures, dg incubation",Series B,110.4
2019-11-15,ninjacart,B2B Marketing,Agritech,Bengaluru,trifecta capital advisors,Debt Funding,239.2
2019-11-20,aye finance,FinTech,Financial Services To MSMEs,Gurugram,fintech,Debt Funding,160.183638
2019-12-11,supergaming,Video Games,Social gaming platform,Pune,dream incubator,Seed Funding,11.96
2019-11-20,clumio,SaaS,Recovery software,"San Jose,","altimeter capital, sutter hill ventures",Series C,1242.0
2019-11-11,ebikego,Last Mile Transportation,Electric bike rental,Amritsar,startup buddy,Seed,2.76
2019-11-19,digital mall asia,E-Commerce,Virtual e-commerce platform,New Delhi,amour infrastructure,Seed Funding,2024.0
2019-11-18,medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"ackermans & van haaren, healthquad, rebright partners, toppan printing",Series B,145.36
2019-11-15,vogo automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"matrix partners, stellaris venture partners, kalaari capital",Series B,2603.6
2019-11-25,paytm,FinTech,Mobile Wallet,Noida,vijay shekhar sharma,Funding Round,9200.0
2019-04-10,dunzo,Customer Service,Delivery Service,Bengaluru,lightbox,Series D,414.0
2019-02-10,udaan,B2B,Business development,Bengaluru,"altimeter capital, dst global",Series D,5382.0
2019-10-21,the man company,Consumer Goods,Beauty and Grooming,Gurugram,ayushmann khurana,Corporate Round,0.0
2019-05-09,fpl technologies,FinTech,Financial Services,Pune,"matrix partners india, sequoia india",Maiden Round,41.4
2019-04-09,cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,saif partners,Series A,30.36
2019-04-09,digital f5,"Advertising, Marketing",Digital marketing firm,Mumbai,tiw private equity,Private Equity Round,55.2
2019-04-09,3rdflix,SaaS,Education Technology,Hyderabad,exfinity venture partners,pre-series A,46.0
2019-04-09,75f,IoT,Building automation system,Burnsville,breakthrough energy ventures,Series A,165.6
2019-04-09,myelin foundry,Information Technology,Deep-technology,Bengaluru,endiya partners,Seed,9.2
2019-04-09,atomberg technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,a91 partners,Series A,92.0
2019-04-09,goqii,Health and Wellness,Wearable Fitness Bands,Menlo Park,bennett coleman and company ltd (bccl),Series C,4140.0
2019-03-09,vyapar app,Accounting,Mobile-based Accounting Software,Bengaluru,"india quotient, axilor ventures",Series A,46.0
2019-01-08,cardekho,E-Commerce,Automotive,Gurugram,sc gg india mobility holdings llc,Series C,184.0
2019-01-08,progcap,Finance,Supply Chain Management,New Delhi,sequoia india,Series A,46.0
2019-01-08,mypetrolpump,Retail,Fuel Delivery,Bengaluru,undisclosed,Seed Funding Round,14.72
2019-01-08,alteria capital,Finance,VC Funds,Mumbai,"azim premji, binny bansal",Single Venture,1288.0
2019-01-08,pine labs,Information Technology,Last-mile retail transaction technology,Noida,pine labs pte ltd,Corporate Round,350.336
2019-12-08,meesho,E-Commerce,Social Commerce,Bengaluru,naspers,Series D,1150.0
2019-08-13,cars24,E-Commerce,Car Retail,Gurugram,ms dhoni,Series D,101.2
2019-08-13,uniphore,Customer Service Platform,Conversational AI,Palo Alto,march capital partners,Series C,469.2
2019-08-23,zendrive,Automotive,Road Safety Analytics,San Francisco,xl innovate,Series B,340.4
2019-08-23,lo! foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"rashmi daga (founder, freshmenu), raveen sastry (co-founder, myntra) and mitesh shah (finance chief, bookmyshow)",Seed Round,4.6
2019-08-23,tala,FinTech,Digital Lending Platform,Santa Monica,rps ventures,Series D,1012.0
2019-08-22,indwealth,FinTech,Wealth Management,Gurugram,tiger global management,Venture Round,138.0
2019-08-21,hungerbox,Food and Beverage,B2B Foodtech,Bengaluru,one97 communications ltd.,Series C,60.628
2019-08-23,admitkard,EdTech,University Admissions,Noida,growth dna,Seed Round,9.2
2019-08-19,mishry reviews,Services,Product Review,Gurugram,vir sanghvi,Series A,0.0
2019-08-19,grofers,E-Commerce,Grocery Delivery,Gurugram,softbank vision fund,Series F,644.0
2019-08-27,rapido bike taxi,Transportation,Bike Taxi,Bengaluru,westbridge capital,Series B,35880.0
2019-02-07,renewbuy,Finance,Auto Insurance,Gurugram,"lok capital, iifl wealth",Series B,174.8
2019-02-07,atlan,Information Technology,Big Data,Singapore,waterbridge ventures,Pre-Series A,23.0
2019-01-07,wizcounsel,Compliance,Consulting,New Delhi,kapil dev,Angel,1.334
2019-03-07,ola cabs,Transport,Cabs,Kormangala,"dig investment ab, deshe holdings, samih toukan and hussam khoury",Series J,9.2
2019-01-07,uniphore,Artificial Intelligence,Speech Recognition,Taramani,march capital partners,Series C,350.336
2019-04-07,daalchini technologies,Food and Beverage,Digital Vending Machine,New Delhi,artha venture,Seed Round,4.6
2019-10-07,"""byju\\'s""",EdTech,Education,Bengaluru,qatar investment authority,Private Equity Round,1380.0
2019-11-07,moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"composite capital management, sequoia capital india, tiger global management",Series D,552.0
2019-10-07,ezyhaul,Tech,Logistics,Singapore,undisclosed,Series B,147.2
2019-10-07,indus os,Tech,Smartphone Operating System,Andheri,ventureast,Series B,52.9
2019-10-07,healthassure,Health Care,Primary care medical network,Mumbai,blume ventures,Series A,23.0
2019-09-07,house of msasaba,Luxury Label,Clothes and Apparel,Mumbai,binny bansal,Series A,9.2
2019-08-07,board infinity,EdTech,Full-stack career platform,Chembur,multiple angel investors,Angel Round,2.940366
2019-05-06,nobroker,E-Commerce,Real Estate,Bengaluru,general atlantic,Series C,469.2
2019-04-06,bira91,Food and Beverage,Brewery,New Delhi,anicut capital,Debt Funding,92.0
2019-03-06,avail finance,Finance,FinTech,Bengaluru,matrix partners,Series A,82.8
2019-04-06,bharatpe,Finance,FinTech,New Delhi,insight partners,Series B,690.0
2019-04-06,recykal,Waste Management Service,Optimization,Hyderabad,"triton investment advisors, pidilite industries director ajay parekh",pre-Series A,239.2
2019-03-06,agara labs,Deep-Tech,Artificial Intelligence,Bengaluru,blume ventures and rtp global,pre-Series A,23.0
2019-06-06,chakr innovation,Energy,Renewable Energy,New Delhi,ian fund,Series A,239.2
2019-06-06,pratilipi,Digital Media,E-Books,Bengaluru,qiming venture partners,Series B,13900.74
2019-10-06,bolo app,Digital Media,Video Platform,Bengaluru,nexus venture partners,Seed Funding,3.95784
2019-10-06,okcredit,FinTech,Financial Services,Haryana,tiger global management,Series A,142.6
2019-06-06,biz2credit,FinTech,Online Lending Platform,New York,westbridge capital,Series B,478.4
2019-08-06,vogo automotive pvt. ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,alteria capital,Debt Funding,32.9728
2019-04-06,leegality,Services,Digital Documentation,Mumbai/Bengaluru,mumbai angels,Series A,31.28
2019-06-05,ola electric,Transport,Cabs,Bengaluru,tata sons,Series A,0.0
2019-06-05,saahas zero waste,Waste Management Service,Optimization,Bengaluru,c4d partners,Venture - Series Unknown,7.99112
2019-05-05,styledotme,E-commerce,Fashion and Shopping,New Delhi,"indian angel network and other angel investors, innov8 founder ritesh malik, josh talks founders supriya paul and shobha banga, and former hero corporate president rohit chanana",Bridge Round,0.0
2019-01-05,blackbuck,Transport,Logistics,Bengaluru,"goldman sachs investment partners and silicon valley-based accel, wellington, sequoia capital, b capital, lightstreet, sands capital and international finance corporation,",Series D,1380.0
2019-02-05,zenoti,Saas,Beauty and Wellness Industry,Hyderabad,tiger global management,Series C,460.0
2019-05-28,ather energy,Automobile,Electric Vehicle,Bengaluru,sachin bansal,Series C,469.2
2019-05-28,freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,equanimity ventures,Seed Round,1288.0
2019-05-30,glowroad,E-commerce,Retail,Bengaluru,"korea investment partners, vertex ventures",Series B,105.8
2019-05-31,bira91,Food and Beverage,Brewery,New Delhi,sixth sense ventures,Series B,51.52
2019-04-16,kuvera,Finance,Wealth Management,Bengaluru,eight roads,Series A,414.0
2019-12-04,medlife,E-commerce,Online Medicine,Bengaluru,prasid uno family trust,Private Equity,156.4
2019-10-04,kabadiwala,E-commerce,Waste Management,Bhopal,"unilever, beehive capital advisor, abcom investments, parekh marine transport,",Private Equity,3.962118
2019-04-13,tripoto,Social Media,Travel,New Delhi,"orchid india, hornbill orchid india fund, chiratae ventures (formerly idg ventures), 3one4 capital, lasmer nv",Series B,33.04065
2019-12-04,azah,Health and Wellness,Organic wellness,Gurugram,unnamed angel investors,Seed Funding,1.84
2019-11-04,setu,Fintech,Banking,Bengaluru,lightspeed india partners,Seed Funding,32.2
2019-10-04,toppr,Edtech,E-learning,Mumbai,milestone,Debt and Preference capital,58.151544
